200	Menipea crystallina	0			
201	Menipea cyathus	0			
202	Menipea cervicornis	0			
203	Menipea tricellata	0			
204	Menipea buskii	0			
205	Bicellaria tuba	0			
206	Bicellaria grandis	0			
207	Bicellaria ciliata	0			
208	Bicellaria turbinata	0			
209	Stirparia annulata	0			
210	Bugula neritina	0			
211	Steganoporella magnilabris	0			
212	Petralia undata	0			
213	Dictyopora grisea	0			
214	Idmonea milneana	0			
215	Idmonea australis	0			
216	Idmonea radians	0			
217	Bugula robusta	0			
218	Bugula cucullata	0			
219	Bugula dentata	0			
220	Bugula avicularia	0			
221	Catenicella amphora	0			
222	Catenicella pulchella	0			
223	Catenicella utriculus	0			
224	Catenicella fusca	0			
225	Catenicella umbonata	0			
226	Retepora monilifera	0			
227	Retepora monilifera form munita	0			
228	Retepora monilifera form umbonata	0			
229	Retepora formosa	0			
230	Retepora carinata	0			
231	Retepora phoenicea	0			
232	Retepora tessellata	0			
233	Cellaria rigida	0			
234	Tubucellaria cereoides	0			
235	Urceolipora dentata	0			
236	Amphiblestrum punctigerum	0			
237	Amphiblestrum flemingii	0			
238	Amphiblestrum permunitum	0			
239	Pyripora crassa	0			
240	Pyripora catenularia	0			
241	Pyripora polita	0			
242	Electra flagellum	0			
243	Bathypora porcellana	0			
244	Biflustra papulifera	0			
245	Biflustra bimamillata	0			
246	Catenicellopsis pusilla	0			
247	Catenicellopsis delicatula	0			
248	Calpidium ponderosum	0			
249	Calpidium ornatum	0			
250	Chlidonia daedala	0			
251	Beania mirabilis	0			
252	Mucronella tricuspis	0			
253	Mucronella vultur	0			
254	Cyclicopora longipora	0			
255	Beania costata	0			
256	Beania crotali	0			
257	Beania radicifera	0			
258	Amphiblestrum patellarium	0			
259	Hornera foliacea	0			
260	Maplestonia cirrata	0			
261	Scrupocellaria cyclostoma	0			
262	Scrupocellaria obtecta	0			
263	Scrupocellaria cervicornis	0			
264	Scrupocellaria scrupea	0			
265	Scrupocellaria ornithorhynchus	0			
266	Membranipora pyrula	0			
267	Membranipora corbula	0			
268	Membranipora inarmata	0			
269	Membranipora pectinata	0			
270	Amphiblestrum albispinum	0			
271	Membranipora spinosa	0			
272	Cellepora speciosa	0			
273	Cellepora serratirostris	0			
274	Cellepora tridenticulata	0			
275	Caberea rudis	0			
