96	Catenicella elegans	Busk, 1852	294	1			
97	 was Lichenopora' novaezelandiae	(Busk, 1875)	54	1	now Disporella novaehollandiae		
98	 was Parasmittina agathae=17847	Hayward & Parker, 1994	266	1			19/11/2008
99	Parasmittina fistulata	(Harmer, 1957)	266	1	ZR1958		
100	Parasmittina hastingsae	Soule & Soule, 1973	266	1	ZR1973-163		
101	Parasmittina parsevalii	(Audouin, 1826)	266	1			
102	Parasmittina parsloeparsloei	Hayward & Parker, 1994	266	1			
103	Parasmittina pectinata	Hayward & Parker, 1994	266	1			
104	Parasmittina solenosmilioides	Hayward & Parker, 1994	266	1			
105	Antropora granulifera	(Hincks, 1880)	153	1			
106	Parellisina curvirostris	(Hincks, 1862)	148	1	ZR1942		
107	Corbulella corbula	(Hincks, 1880)	148	1			
108	Cranosina coronata	(Hincks, 1881)	147	1	ZR1933		
109	Nellia tenuis	Harmer, 1926	138	1	ZR1926		
110	Bugula vectifera	Harmer, 1926	192	1	ZR1926		
111	Bugula subglobosa	Harmer, 1926	192	1	ZR1926		
112	Scrupocellaria diadema	Busk, 1852	202	1			
113	Scrupocellaria maderensis	Busk, 1860	202	1			
114	Scrupocellaria spatulata	(d'Orbigny, 1851)	202	1			
115	Micropora angusta	MacGillivray, 1887	158	1			
116	Micropora variperforata	Waters, 1887	158	1			
117	Steginoporella magnilabris	(Busk, 1854)	166	1			
118	Thalamoporella granulata	Levinsen, 1909	168	1			
119	Thalamoporella stapifera	Levinsen, 1909	168	1			
120	Labioporella bursaria	(MacGillivray, 1887)	166	1			
121	Puellina decipiens	Ryland & Hayward, 1992	206	1	ZR1992/93-085		
122	Puellina egretta	Ryland & Hayward, 1992	206	1	ZR1992/93-085		
123	Puellina vulgaris	Ryland & Hayward, 1992	206	1	ZR1992/93-085		
124	Figularia fissa	(Hincks, 1880)	206	1			
125	Vasignyella otophora	(Kirkpatrick, 1890)	294	1	ZR1989/90-050		
126	Hippothoa calciophilia	Gordon, 1984	212	1	ZR1986-073		
127	Chorizopora brongniartii	(Audouin, 1826)	210	1			
128	Poricella spathulata	(Canu & Bassler, 1929)	208	1			
129	Exochella conjuncta	Brown, 1952	218	1	ZR1952		
130	Celleporaria tridenticulata	(Busk, 1881)	230	1			
131	Celleporaria aperta	(Hincks, 1882)	230	1			
132	Celleporaria desperabilis	Ryland & Hayward, 1992	230	1	ZR1992/93-085		
133	Celleporaria pigmentaria	(Waters, 1909)	230	1			
134	Celleporaria vagans	(Busk, 1881)	230	1			
135	Hippopodina feegeensis	(Busk, 1884)	258	1			
136	Cosciniopsis lonchaea	(Busk, 1884)	244	1			
137	Thornelya perarmata	Harmer, 1957	258	1	ZR1958		
138	Calyptotheca tenuata	Harmer, 1957	282	1	ZR1958		
139	Calyptotheca thornelyae	Dumont, 1981	282	1	ZR1981-042		
140	Emballotheca buskii	Rogick, 1955	282	1			
141	Robertsonidra argentea	(Hincks, 1881)	243	1			
142	 was Robertsonidra novella=20023	Ryland & Hayward, 1992	243	1	ZR1992/93-085		30/05/2008
143	Calyptotheca inclusa	(Thornely, 1906)	282	1			
144	Phonicosia circinata	(MacGillivray, 1869)	251	1			
145	Bryopesanser pesanseris	(Smitt, 1873)	325	1			
146	Stylopoma duboisii	(Audouin, 1826)	250	1			
147	Stylopoma thornelyi	(Livingstone, 1926)	250	1			
148	Stylopoma viride	(Thornely, 1905)	250	1			
149	Cigclisula areolata	(Kirkpatrick, 1890)	252	1			
150	Smittoidea pacifica	Soule & Soule, 1973	266	1	ZR1973-163		
151	Parasmittina galerita	Ryland & Hayward, 1992	266	1	ZR1992/93-085		
152	Parasmittina latiavicularia	(Kirkpatrick, 1888)	266	1			
153	Parasmittina onychorrhyncha	Ryland & Hayward, 1992	266	1	ZR1992/93-085		
154	Parasmittina serrula	Soule & Soule, 1973	266	1	ZR1973-163		
155	Parasmittina turbula	Ryland & Hayward, 1992	266	1	ZR1992/93-085		
156	Pleurocodonellina signata	(Waters, 1889)	266	1			
157	Pleurocodonellina clavicula	Ryland & Hayward, 1992	266	1	ZR1992/93-085		
158	Sinupetraliella litoralis	(Hastings, 1932)	228	1	ZR1932; ZR1936		
159	Crepidacantha crinispina	Levinsen, 1909	284	1			
160	Crepidacantha carsioseta	Winston & Heimberg, 1986	284	1	ZR1986-185		
161	Inversiula inversa	(Waters, 1887)	234	1			
162	Microporella orientalis	Harmer, 1957	232	1	ZR1958		
163	Microporella fimbriata	Ryland & Hayward, 1992	232	1	ZR1992/93-085		
164	 was Fenestrulina carseola	Hayward, 1988		1	misspelling		
165	Margaretta tenuis	Harmer, 1957	270	1	ZR1958		
166	Margaretta triplex	Harmer, 1957	270	1	ZR1958		
167	Turbicellepora ampla	(Kirkpatrick, 1888)	290	1			
168	Celleporina reginae	Ryland & Hayward, 1992	290	1	ZR1992/93-085		3/09/2008
169	Reteporella graeffei	(Kirchenpauer, 1869)	274	1			
170	Triphyllozoon mucronatum	(Busk, 1884)	274	1			
171	Fredericella sultana crenulata	Marcus, 1946	652	1	ZR1946		
172	Rhynchozoon ardeolum	Ryland & Hayward, 1992	274	1	ZR1992/93-085		
173	Rhynchozoon bifurcum	Harmer, 1957	274	1	ZR1958		
174	Rhynchozoon compactum	(Thornely, 1905)	274	1			
175	Rhynchozoon haha	Hayward, 1988	274	1	ZR1987/88-070		
176	Rhynchozoon limatulum	Ryland & Hayward, 1992	274	1	ZR1992/93-085		
177	Rhynchozoon scopulorum	Ryland & Hayward, 1992	274	1	ZR1992/93-085		
178	Rhynchozoon splendens	Hayward, 1988	274	1	ZR1987/88-070		
179	Nevianipora pulcherrima	(Kirkpatrick, 1890)	24	1			
180	 was Disporella buski	(Harmer, 1915)	54	1	now D. pristis		
181	Crisia elongata	Milne Edwards, 1838	1	1			
182	Jellyella tuberculata	(Bosc, 1802)	136	1	ZR1996/97-129		
183	Electra bellula	(Hincks, 1881)	142	1			
184	Parellisina albida	(Hincks, 1880)	148	1	ZR1942		
185	Nellia simplex	Busk, 1852	138	1			
186	Schizoporella? bolini	(Osburn, 1952)	250	1	ZR1952 as Stephanosella		
187	Beania pectinata	Hayward & Ryland, 1995	200	1	ZR1995/96-045		
188	Beania klugei	Cook, 1968	200	1	ZR1968		
189	Smittipora cordiformis	Harmer, 1926	156	1	ZR1926		
190	Thairopora calcarata	Hayward & Ryland, 1995	168	1	ZR1995/96-045		
191	Cellaria punctata	(Busk, 1852)	178	1			
192	Hippothoa flagellum	Manzoni, 1870	212	1			
193	Trypostega venusta	(Norman, 1864)	231	1			
194	Exechonella ampullacea	Hayward & Ryland, 1995	220	1	ZR1995/96-045		
195	Escharoides longirostris	Dumont, 1981	158	1	ZR1981-042		
196	Celleporaria columnaris	(Busk, 1881)	230	1			
197	Celleporaria granulosa	(Haswell, 1881)	230	1			
198	Celleporaria hesperopacifica	Hayward & Ryland, 1995	230	1	ZR1995/96-045		
199	Celleporaria sicaria	Hayward & Ryland, 1995	230	1	ZR1995/96-045		
200	Pleurotoichus clathratus	(Harmer, 1902)	302	1			
201	Calyptotheca rupicola	Hayward & Ryland, 1995	282	1	ZR1995/96-045		
202	 was Cheiloporina campanula	Hayward & Ryland, 1995	241	1	ZR1995/96-045		
203	Gigantopora pupa	(Jullien, 1903)	244	1			
204	Robertsonidra praecipua	Hayward & Ryland, 1995	243	1	ZR1995/96-045		
205	Stylopoma herodias	Hayward & Ryland, 1995	250	1	ZR1995/96-045		
206	Nimba saxatilis	Hayward & Ryland, 1995	251	1	ZR1995/96-045		
207	Cigclisula fruticosa	Hayward & Ryland, 1995	252	1	ZR1995/96-045		
208	Smittoidea incucula	Hayward & Ryland, 1995	266	1	ZR1995/96-045		
209	Pleurocodonellina laciniosa	Hayward & Ryland, 1995	266	1	ZR1995/96-045		
210	Microporella lunifera	(Haswell, 1881)	232	1			
211	Fenestrulina epiphytica	Hayward & Ryland, 1995	232	1	ZR1995/96-045		
212	Celleporina bellatula	Hayward & Ryland, 1995	290	1	ZR1995/96-045		
213	Celleporina cochlearia	Hayward & Ryland, 1995	290	1	ZR1995/96-045		
214	Celleporina fistulata	Hayward & Ryland, 1995	290	1	ZR1995/96-045		
215	Celleporina rostellata	Harmer, 1957	290	1	ZR1958		
216	Plesiocleidochasma normani	(Livingstone, 1926)	274	1	ZR1926		
217	Reteporellina denticulata	(Busk, 1884)	274	1			
218	Iodictyum mamillatum	Hayward & Ryland, 1995	274	1	ZR1995/96-045		
219	 was Iodictyum receptaculum=1518	Hayward & Ryland, 1995	274	1	ZR1995/96-045		
220	Chaperiopsis harmeri	Hayward & Ryland, 1995	150	1	ZR1995/96-045		
221	Aetea ligulata	Busk, 1852	130	1			
222	Brettiopsis triplex	(Hastings, 1943)	132	1	ZR1943		
223	Leiosalpinx inornata	(Goldstein, 1882)	131	1	ZR1979		
224	Electra longispina	(Calvet, 1904)	142	1			
225	Harpecia spinosissima	(Calvet, 1904)	142	1			
226	Carbasea curva	(Kluge, 1914)	146	1			
227	Carbasea ovoidea	Busk, 1852	146	1			
228	Klugeflustra antarctica	(Hastings, 1943)	146	1	ZR1943		
229	Klugeflustra drygalskii	(Kluge, 1914)	146	1			
230	Klugeflustra onychocelloides	(Calvet, 1909)	146	1			
231	Klugeflustra vanhoeffeni	(Kluge, 1914)	146	1	ZR1975-108		
232	Isosecuriflustra angusta	(Kluge, 1914)	146	1			
233	Isosecuriflustra tenuis	(Kluge, 1914)	146	1			
234	Isosecuriflustra thysanica	(Moyano, 1972)	146	1	ZR1975-108 as Securiflustra; ZR1982-083		
235	Austroflustra vulgaris	(Kluge, 1914)	1003	1			
236	Nematoflustra flagellata	(Waters, 1904)	146	1	ZR1975-108		
237	Pyriporoides uniserialis	(Waters, 1904)	148	1	type species		
238	Ellisina antarctica	Hastings, 1945	148	1	ZR1945		
239	Ellisina constantia	(Kluge, 1914)	148	1	ZR1989/90-061		
240	Amphiblestrum familiaris	Hayward & Thorpe, 1989	148	1	ZR1989/90-061		
241	Amphiblestrum georgensis	Hayward & Thorpe, 1989	148	1	ZR1989/90-061		
242	Amphiblestrum inermis	(Kluge, 1914)	148	1			
243	Amphiblestrum rossi	Hayward & Thorpe, 1989	148	1	ZR1989/90-061		
244	Crassimarginatella inconstantia	(Kluge, 1914)	148	1	ZR1989/90-061		
245	Crassimarginatella perlucida	(Kluge, 1914)	148	1	ZR1989/90-061		
246	Valdemunitella lata	(Kluge, 1914)	148	1	ZR1989/90-061		
247	Xylochotridens rangifer	Hayward & Thorpe, 1989	148	1	ZR1989/90-061		
248	Chaperiopsis galeata	(Busk, 1854)	150	1			
249	Chaperiopsis orbiculata	Hayward & Thorpe, 1988	150	1	ZR1988/89-042		
250	Chaperiopsis patulosa	(Waters, 1904)	150	1			
251	Chaperiopsis protecta	(Waters, 1904)	150	1			
252	Chaperiopsis quadrispinosa	(Kluge, 1914)	150	1			
253	Chaperiopsis rotundata	Hayward & Thorpe, 1988	150	1	ZR1988/89-042		
254	Chaperiopsis signyensis	Hayward, 1993	150	1			
255	Icelozoon dichotomum	(Kluge, 1914)	150	1			
256	Icelozoon lepralioides	(Kluge, 1914)	150	1			
257	Exallozoon simplicissimum	(Kluge, 1914)	150	1			
258	Bugula longissima	Busk, 1884	192	1			
259	Bugulella klugei	(Hastings, 1943)	192	1	ZR1943		
260	Camptoplites bicornis	(Busk, 1884)	192	1			
261	Camptoplites angustus	(Kluge, 1914)	192	1			
262	Camptoplites areolatus	(Kluge, 1914)	192	1			
263	Camptoplites asymmetricus	Hastings, 1943	192	1	ZR1943		
264	Camptoplites giganteus	(Kluge, 1914)	192	1			
