122	Maplestone, 1899	Further descriptions...Tertiary Polyzoa of Vic. 2		
123	Maplestone, 1900a	Further descriptions...Tertiary Polyzoa of Vic. 3		
124	Maplestone, 1900b	Further descriptions...Tertiary Polyzoa of Vic. 4		
125	Maplestone, 1901a	Further descriptions...Tertiary Polyzoa of Vic. 5		
126	Maplestone, 1901b	Further descriptions...Tertiary Polyzoa of Vic. 6		
127	Maplestone, 1902a	Further descriptions...Tertiary Polyzoa of Vic. 7		
128	Maplestone, 1902b	Further descriptions...Tertiary Polyzoa of Vic. 8		
129	Maplestone, 1903	Further descriptions...Tertiary Polyzoa of Vic. 9		
130	Maplestone, 1908	Further descriptions...Tertiary Polyzoa of Vic. 10		
131	Maplestone, 1911	Further descriptions...Tertiary Polyzoa of Vic. 11		
132	Maplestone, 1913a	Further descriptions...Tertiary Polyzoa of Vic. 12		
133	Maplestone, 1901c	On a new name, "Vittaticella"		
134	Maplestone, 1904a	Notes on the...Selenariidae		
135	Maplestone, 1905	Lord Howe Island		
136	Maplestone, 1904b	Tabulated list		
137	Maplestone, 1909a	Gilbert Islands		
138	Maplestone, 1910a	Growth & habits of the Biporae		
139	Maplestone, 1910b	A new species of Cellepora		
140	Maplestone, 1910c	Observations on Parmularia obliqua		
141	Maplestone, 1913b	New or little-known		
142	Maplestone, 1909b	Results of deep-sea investigations		
143	Maplestone, 1910d	Results of deep-sea investigations, supplement		
144	Bale, 1922	Two new species		
145	Uttley & Bullivant, 1972	Chatham Islands		
146	Soule, Soule & Chaney, 1992	Genus Thalamoporella		
147	Soule, Soule & Chaney, 1991a	Little known genera of Thalamoporellidae		
148	Soule, Soule & Chaney, 1991b	New tropical Pacific Cleidochasmatidae		
149	Stach, 1933	Vic. Tertiary Catenicellidae, 1		
150	Stach, 1934	Vic. Tertiary Catenicellidae, 2		
151	Stach, 1935a	Vic. Tertiary Catenicellidae, 3		
152	Stach, 1935b	Notes on Recent Aust. Bryozoa, Part 1		
153	Stach, 1935c	Victorian Lower Pliocene Bryozoa. Part 1		
154	Stach, 1935d	A new cyclostomatous bryozoan		
155	Stach, 1936a	South Australian Cainozoic Bryozoa.- Part 1		
156	Stach, 1936b	An Upper Oligocene bryozoan faunule		
157	Stach, 1936c	Studies on Recent Petraliidae		
158	Stach, 1936d	Goldstein's nomina nuda		
159	Stach, 1937a	The species of Chiastosella		
160	Stach, 1937b	Lady Julia Percy Island		
161	Stach, 1938a	Colony formation in Smittina papillifera		
162	Stach, 1938b	Observations on Carbasea indivisa		
163	Hincks, 1880a	Contributions, I. Madeiran Polyzoa		
164	Hincks, 1880b	Contributions, II. Foreign Membraniporina		
165	Hincks, 1880c	Contributions, II. Foreign Membraniporina (contd)		
166	Hincks, 1880d	Contributions, III. Foreign Cheilostomata (Misc.)		
167	Hincks, 1881a	Contributions, IV. Foreign Membraniporina(second)		
168	Hincks, 1881b	Contributions, V. Foreign Cheilostomata		
169	Hincks, 1881c	Contributions, VI. Polyzoa from Bass's Straits		
170	Hincks, 1881d	Contributions, VI. Polyzoa from Bass's Straits(con		
171	Hincks, 1881e	Contributions, VII. Foreign Membraniporina (third)		
172	Hincks, 1881f	Contributions, VIII. Foreign Cheilostomata (misc.)		
173	Hincks, 1882a	Contributions, IX. Foreign Cheilostomata (misc.)		
174	Hincks, 1882b	Contributions, X. Foreign Cheilostomata (misc.)		
175	Hincks, 1883a	Contributions, XI. Foreign Cheilostomata (Aus &NZ)		
176	Hincks, 1884a	Contributions, XII. Polyzoa from India		
177	Hincks, 1884b	Contributions, XIII. Polyzoa from Vic & WA		
178	Hincks, 1884c	Contributions, XIII. Polyzoa from Vic (contd)		
179	Hincks, 1885a	Contributions, XIV. Polyzoa from NZ & Aust.		
180	Hincks, 1891a	Contributions, XV. South-African and other Polyzoa		
181	Busk, 1852b	Catalogue I		
182	Busk, 1854	Catalogue II		
183	Busk, 1875	Catalogue - Cyclostomata		
184	Waters, 1887a	New South Wales I		
185	Waters, 1887b	New South Wales II		
186	Waters, 1887c	New South Wales III		
187	Waters, 1889	New South Wales IV		
188	Uttley, 1949	Recent & Tertiary Polyzoa, I		
189	Uttley, 1951	Recent & Tertiary Polyzoa, II		
190	Borg, 1944	Swedish Antarctic - Stenolaematous Bryozoa		
191	Brood, 1976	Cyclostomatous Bryozoa, coastal waters, East Africa		
192	Cook, 1965	Polyzoa from West Africa. The Cupuladriidae		
193	Cook, 1966	Some "sand fauna" from Eastern Africa		
194	Winston, 1982	Indian River, Florida		
195	Hastings, 1932	Great Barrier Reef - The Polyzoa		
196	Bretnall, 1921	Studies on Bryozoa I		
197	Bretnall, 1922	Studies on Bryozoa II		
198	Powell, 1967	Discovery - Polyzoa from North New Zealand		
199	Soule & Soule, 1973	Morphology ... Hawaiian Smittinidae		
200	Moyano, 1982	Magellanic Bryozoa		
201	Ryland & Gordon, 1977	Some New Zealand & British Hippothoa		
202	lopez de la Cuadra & Garcia-Gomez, 1994	Bryozoa Cheilostomata - The genus Amphiblestrum...		
203	Gordon & Parker, 1991a	An aberrant new genus ...Thalamoporellidae		
204	Gordon & Parker, 1991b	A new genus of the ... Electridae		
205	Moyano, 1974	Briozoos Marinos Chilenos II		
206	Moyano, 1981	Orthoporidroides		
207	Moyano, 1991a	Bryozoa from deep-sea waters		
208	Moyano, 1991b	Briozoos Marinos Chilenos VII		
209	Moyano, 1985a	Bryozoa Lekythoporidae		
210	Hayward, 1992	Some Antarctic...Celleporidae		
211	Hayward & Ryland, 1990	Some Antarctic...Microporellidae		
212	Morris, 1980	The Bryozoan Family Hippothoidae		
213	Gordon & Mawatari, 1992	Atlas of Marine-Fouling...NZ		
214	Ortmann, 1890	Die Japanische Bryozoenfauna		
215	Silen, 1941	Cheilostomata (Anasca)...Japan		
216	Winston & Heimberg, 1986	Bali, Lombok, Komodo		
217	Winston & Hakansson, 1986	Capron Shoal, Florida		
218	Osburn, 1950	Pacific Coast - Anasca		
219	Canu & Bassler, 1927	Bryozoaires des Iles Hawai		
220	Osburn, 1952	Pacific Coast - Ascophora		
221	Osburn, 1953	Pacific Coast - Cyclostomata, Ctenostomata...		
222	Kirkpatrick, 1888a	Port Phillip		
223	Kirkpatrick, 1888b	Mauritius		
224	Kirkpatrick, 1890a	Torres Strait		
225	Silen, 1942	Carnosa and Stolonifera		
226	Silen, 1947	Conescharellinidae...Japan and the Bonin Islands		
227	Gordon, 1989a	New & little-known... New Zealand		
228	Gordon, 1989b	New & little-known... deep-sea umbonulomorph		
229	Gordon, 1985	Additional...Kermadec		
230	Gordon, 1990	Prostomariidae		
231	Gordon, 1994a	Tertiary bryozoan genera...Implications		
232	Gordon, 1994b	A new family of Bifaxarioidea...		
233	Gordon, 1988	Sclerodomidae, Bifaxariidae		
234	Gordon & d'Hondt, 1991	Petalostegidae		
235	Gordon & Braga, 1994	Ditaxiporinae and Vasignyellinae		
236	Gordon, 1993a	Cribriomorpha, Hippothoomorpha and Umbonulomorpha		
237	Gordon & Grischenko, 1994	Bryozoan frontal shields: Desmacystis...		
238	Gordon, 1993b	Bryozoan frontal shields: studies on umbonulomorph		
239	Winston, 1984	Carrie Bow Cay, Belize		
240	Ostrovsky & Taylor, 1996	Systematics of some Antarctic Idmidronea...		
241	d'Hondt & Gordon, 1996	Ctenostomes et Cheilostomes ... MUSORSTOM		
242	Harmelin & d'Hondt, 1992	Bryozoaires des parages de Gibraltar-1 Cheilostomes		
243	d'Hondt, 1986	Nouvelle Caledonie et du plateau des Chesterfield		
244	d'Hondt, 1983a	Nouvelle contribution ... bathyaux et abyssaux		
245	d'Hondt, 1981	Atlantis II et Chain et Knorr		
246	d'Hondt & Schopf, 1984	Bryozoaires des grandes profondeurs...		
247	Audouin/Savigny, 1826	Explication sommaire/Description de l'Egypte		
248	Canu & Bassler, 1928a	Gulf of Mexico		
249	Moyano, 1985b	Briozoos Marinos Chilenos V		
250	Moyano, 1969	Bryozoa Colectados ... III. Familia Cellariidae		
251	Moyano & Gordon, 1980	New Species of Hippothoidae		
252	Moyano, 1972a	Aspectos ...Inversiula nutrix		
253	Moyano, 1972b	Familia Flustridae:		
254	Moyano, 1987	Briozoos Marinos Chilenos VI ...Hippothoidae		
255	Moyano, 1984	Chilean Cribrimorpha		
256	Harmer, 1923	Cellularines		
257	Busk, 1886	Challenger Part II		
258	Waters, 1888	Challenger Supplementary		
259	Moyano, 1970	Una familia ...		
260	Moyano, 1965	Bryozoa colectados ... 1964-65		
261	Moyano, 1991c	Bryozoa marinos chilenos VIII ...		
262	Moyano, 1986a	Estructura ... Kymella polaris		
263	Ryland & Hayward, 1991	Marine Flora & Fauna of the northeastern US		
264	Kluge, 1975	Bryozoa of the northern seas of the USSR		
265	Soule, Soule & Chaney, 1995	Taxonomic atlas ...Santa Barbara Basin		
266	Moyano, 1973a	Heteropora chilensis		
267	Moyano, 1965-66	Descripcion de Schizoporella bifrons...		
268	Moyano, 1969-70a	Flustrapora magellanica		
269	Moyano, 1969-70b	Bryozoa colectados...IV Arachnopusiidae		
270	Moyano, 1972c	Briozoos epizoos de Laetmonice producta		
271	Busk, 1855a	Zoophytology - pl.1,2		
272	Busk, 1855b	Zoophytology - pl.3,4		
273	Busk, 1856a	Zoophytology - pl.5,6		
274	Busk, 1856b	Zoophytology - pl.7,8		
275	Busk, 1856c	Zoophytology - pl.9-12		
276	Busk, 1857a	Zoophytology - pl.15-17		
277	Kirkpatrick, 1890b	report on the Hydrozoa...China Sea		
278	Brown, 1948	Six new Recent...genera		
279	Marcus, 1949	Some Bryozoa from the Brazilian Coast		
280	Marcus, 1922a	Bryozoen von den Aru-Inseln		
281	Marcus, 1937	Bryozoarios Marinhos Brasileiros I		
282	Marcus, 1938b	Bryozoarios Marinhos Brasileiros II		
283	Marcus, 1922b	Sudafrikanische Bryozoen ...		
284	Pouyet & David, 1979	Revision ... Steginoporella		
285	Marcus, 1939	Bryozoarios Marinhos Brasileiros III		
286	Arnold & Cook, 1997	Some recent species ...Anaskopora		
287	Dick & Ross, 1988	Intertidal Bryozoa ... Kodiak vicinity, Alaska		
288	d'Hondt, 1983b	Tabular Keys ... Ctenostomatous		
289	d'Hondt, 1988	Bryozoa from the coast of Israel		
290	Aristegui, 1988	Tres especies nueavas ...Canarias		
291	Aristegui, 1989	Consideraciones... Celleporina... Canarias		
292	Marcus, 1941a	Bryozoarios marinhos do litoral Paranense		
293	Marcus, 1953	Notas Sobre Briozoos Marinhos Brasileiros		
294	Moyano, 1994	Bryozoa Microporidae...		
295	Winston & Hayward, 1994	Bryozoa of the US Antarctic...		
296	Cook, 1967	Polyzoa (Bryozoa) from West Africa Pseudostega...		
297	Aristegui, 1986	Una especie nueva...Escharella hexaespinosa...		
298	Hayward & Thorpe, 1988a	Species of Chaperiopsis...		
299	Hayward & Thorpe, 1989a	Membraniporoidea, Microporoidea and Cellarioidea..		
300	Ryland, 1963	Systematic and biological studies...western Norway		
301	Hayward & Thorpe, 1990	Some Antarctic ... Smittinidae		
302	Moyano, 1996	On a new species pf Flustridae...		
303	Moyano, 1973b	Briozoos Marinos Chilenos I...Isla de Pascua I		
304	Hayward, 1979b	Systematic notes on some British...		
305	Hayward, 1993	New species of cheilostomate ...Antarctica		
306	Hayward & Ryland, 1993	Taxonomy of six Antarctic anascan Bryozoa		
307	Cook, 1973	Preliminary notes ... Adeonidae and Adeonellidae		
308	Cook, 1968b	Polyzoa from West Africa...Malacostega		
309	Cook, 1977	The genus Tremogasterina		
310	Osburn & Soule, 1953	Ctenostomata - in Osburn 1953 (221)		
311	Bishop & Househam, 1987	Puellina ... from British ... waters		
312	Bishop, 1988	A clarification ... Collarina		
313	Bishop, 1994	The genera Cribrilina and Collarina ...		
314	Hastings, 1939	Notes on some Cellularine ...		
315	Cook & Hayward, 1983	Notes on the family Lekythoporidae..		
316	Cook & Lagaaij, 1976	Some Tertiary and Recent conescharelliniform ...		
317	Chimonides & Cook, 1993	Notes on Parmularia ...		
318	Parker & Cook, 1994	Records of ... Selenariidae from Western Australia		
319	Cadee, Chimonides & Cook, 1989	Pseudolunularia		
