rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage	taxon_author	accepted_name	unacceptability_reason	comments	details
Superfamily	Cribrilinoidea			Ascophorina Levinsen 1909	valid	Hincks 1879				
Superfamily	Didymoselloidea			Ascophorina Levinsen 1909	valid	Brown 1952				
Superfamily	Dysnoetoporoidea			Ascophorina Levinsen 1909	valid	Voigt 1971				
Superfamily	Euthyriselloidea			Ascophorina Levinsen 1909	valid	Bassler 1953				
Superfamily	Flustroidea			x_Neocheilostomina_superfam	valid	Fleming 1828				
Superfamily	Hippothooidea			Ascophorina Levinsen 1909	valid	Busk 1859				
Superfamily	Lepralielloidea			Ascophorina Levinsen 1909	valid	Vigneaux 1949				
Superfamily	Mamilloporoidea			Ascophorina Levinsen 1909	valid	Canu & Bassler 1927				
Superfamily	Membraniporoidea			Malacostegina Levinsen 1909	valid	Busk 1854				
Superfamily	Microporoidea			x_Neocheilostomina_superfam	valid	Gray 1848				
Superfamily	Pseudolepralioidea			Ascophorina Levinsen 1909	valid	Silén 1942				
Superfamily	Schizoporelloidea			Ascophorina Levinsen 1909	valid	Jullien 1883				
Superfamily	Scorioporoidea			Ascophorina Levinsen 1909	valid	Gordon 2002				
Superfamily	Scruparioidea			Scrupariina Silén 1941	valid	Gray 1848				
Superfamily	Siphonicytaroidea			Ascophorina Levinsen 1909	valid	Harmer 1957				
Superfamily	Smittinoidea			Ascophorina Levinsen 1909	valid	Levinsen 1909				
Superfamily	Urceoliporoidea			Ascophorina Levinsen 1909	valid	Bassler 1936				
Superfamily	Batoporoidea			Ascophorina Levinsen 1909	valid					
Superfamily	x_Ascophorina_fam			Ascophorina Levinsen 1909	invalid		Ascophorina Levinsen 1909		dummy taxon for unplaced Families	
Superfamily	x_Ascophorina_gen			Ascophorina Levinsen 1909	invalid		Ascophorina Levinsen 1909		dummy taxon for unplaced Genera	
Family	Hederellidae			Hederellida Bassler 1939	valid	Bock 1999				
Family	Reptariidae			Hederellida Bassler 1939	valid	Bock 1999				
Family	Aisenvergiidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Amplexoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Anisotrypidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
Family	Araxoporidae			Trepostomatida Ulrich 1882	valid	Bock 1999				
