AMPLEXOPORA? EVENENSIS
HEMIPHRAGMA? TUBERCULATA
Lioclema [sic] ramosum
LIOCLEMA [sic] CRUSTULUM
LIOCLEMA [sic] DENSIPORUM
LIOCLEMA [sic] GLOMERATUM
LIOCLEMA [sic] GRACILENSE
LIOCLEMA [sic] KITAJENSE
LIOCLEMA [sic] RAMOSUM
SCEPTROPORA? OBSCURA
EOFISTULOTRYPA? KWANGSIENSIS
FENESTELLA (BAJOOLA) CAPELLAE
LEPTOTRYPELLA? PRAECOX
LIOCLEMA [sic] FLOREA
LIOCLEMA [sic] LUICHINGENSE
STEREOTOECHUS? MONOLAMELLATUS
STEREOTOECHUS? PROBLEMUS
AMPLEXOPORA? DISCOIDEA
AMPLEXOPORA? DISCOIDEA
FENESTELLA (MINILYA) PSEUDOAMPLIA
LEIOCLEMA? CHOSHIENSIS
IMMERGENTIA? LISSAJOUSI
LABIOPORELLA? DARTEVILLEI
CELLARINELLA ROGICKI [sic]
Characodoma? gilchristi
Babickella? longa
FENESTELLA (FENESTELLA) EXTENSA
FENESTELLA (MINILYA) OBLIQUA
ESCHAROIDES? DANEI
ESCHAROIDES? ERYMNOS
ESCHAROIDES? NOMAS
ANOTEROPORA? TRIOVICELLATA
BACTRELLARIA? CHEROPADIENSIS
HERPETOPORA? SEHENSIS
'BALANTIOSTOMA' IMPEDITUM
PHYLLOPORINA' DEVONICA
HIPPOMENELLA? GIGANTICA
BATOSTOMA IRRASA [sic]
CERAMOPORA? BEANI
Nicholsonella sp. A & B
THAMNISCUS? OROSUS
ANISOTRYPA PROAVUS [sic]
Batostomea irrasa [sic]
CYPHOTRYPA INSULANUS [sic]
HETEROTRYPA? ZUBOVSKAENSIS
LIOCLEMA [sic] TURANENSE
AMPLEXOPORA sp.
ASCODICTYON sp.
BATOSTOMELLA aff. B. INTERPOROSA
CALACANTHOPORA? SENTICOSA
CHEILOTRYPA? sp.
CORYNOTRYPA sp.
CYCLOPELTA sp.
CYCLOTRYPA aff. TUBULARIA
CYSTIRAMUS cf. KONDOMENSIS
CYSTODICTYA cf. RIGIDA
DISCOTRYPA? sp. A
ELIASOPORA cf. SILURIENSIS
FISTULIPORA cf. IRREGULARIS
PTILOPORA sp. A
PTILOPORA sp. B
PTILOPORA? sp.
PTILOPORELLA sp. ex. grp. MEDOEVI
TREMATOPORA ? SP. INDT.
ERIDOTRYPELLA sp.
FENESTELLA aff. BURATINENSIS
FENESTELLA cf. ISCHIMICA
FENESTELLA sp. cf. F. PARALLELA
FENESTELLA n. sp. aff. PLEBEIA
FENESTELLA n. sp. aff. SUBRECTANGULARIS
FENESTELLA cf. TASTAUENSIS
FENESTELLA sp.
FENESTELLA? sp.
FENESTELLA sp.
FENESTELLA sp. A
FENESTELLA sp.
FENESTELLA sp.
FENESTRELLINA sp. indet.
FISTULIPORA cf. TRIFOLIATA
FISTULIPORA? sp.
FISTULIPORA? sp.
FISTULIPORA sp.
FISTULIPORA? sp.
FISTULIPORA sp. indet.
FISTULIPORA sp.
FISTULIPORA sp.
FISTULIPORA? sp.
FISTULIRAMUS sp.
FISTULIRAMUS? sp.
HEDERELLA (BASSLEDERELLA) CONGLOBATA
HEDERELLA (HEDERELLA) DISPAR
HEDERELLA (HEDERELLA) ELEGANTULA
HEDERELLA (HEDERELLA) INFLEXA
HEDERELLA (HEDERELLA) MACRA
HEDERELLA (HEDERELLA) MUTABILIS
HEDERELLA (HEDERELLA) sp. aff. MUTABILIS
HEDERELLA (MAGNEDERELLA) cf. OBESA
HEDERELLA (HEDERELLA) sp. aff. SAETOSA
HEDERELLA (PARALHEDERELLA) SCOPULA
HEDERELLA (HEDERELLA) sp. aff. SIMPLEX
HEDERELLA (PARALHEDERELLA) VARIANS
HEDERELLA (HEDERELLA) VOIGTI
HEDERELLA (HEDERELLA) WIRTGENI
HEDERELLA (HEDERELLA) ZEILERI
HEDERELLA n. sp.
HEDERELLA (MAGNEDERELLA) sp.
HEDERELLA (MAGNEDERELLA) sp.
HEMITRYPA aff. CORNEA
HEMITRYPA cf. TRIANGULARIS
HEMITRYPA sp. A.
HEMITRYPA sp. B.
HEMITRYPA sp. A.
HEMITRYPELLA cf. TUBULOSA
HERNODIA? sp.
Leptotrypa? senticosa
LEPTOTRYPA aff. TUBULIFORMIS
LEPTOTRYPA sp. A
LEPTOTRYPA sp.
Leptotrypella (Leptotrypella) amplectens
LEPTOTRYPELLA (LEPTOTRYPELLA) ASTERICA
Leptotrypella (Leptotrypella) furcata
LEPTOTRYPELLA (LEPTOTRYPELLA) MESOSTENA
LEPTOTRYPELLA (LEPTOTRYPELLA) MESOSTENA PROVECTA
LEPTOTRYPELLA (LEPTOTRYPELLA) MULTITECTA
LIOCLEMA [sic] GANIENSE
LIOCLEMA [sic] aff. L. JAKOVLEVI
LIOCLEMA [sic] KISILTSCHINENSE
LIOCLEMA [sic] cf. L. MINUTUM
LIOCLEMA [sic] MULTIACANTHOPORUM
LIOCLEMA [sic] MULTUM
LIOCLEMA [sic] aff. L. OCCIDENS
LIOCLEMA [sic] aff. L. OCCIDENS
LIOCLEMA [sic] PLICATILE
LIOCLEMA [sic] PRESSULUM
LIOCLEMA [sic] TENUIMURINUM
LIOCLEMA [sic] TSCHUYAENSE
LIOCLEMA [sic] VULGATUM
LOCULIPORA cf. ALVEARIS
LOCULIPORA sp.
MEEKOPORA sp.
Monotrypa? furcata
MONOTRYPELLA sp.
NIKIFOROVELLA sp. A.
ORTHOPORA? sp. A.
PALESCHARA? sp.
PENNIRETEPORA aff. TENNISTRIATA [sic]
PENNIRETEPORA sp. A.
PENNIRETEPORA sp.
PENNIRETEPORA? sp.
PETALOTRYPA sp.
PETALOTRYPA sp.
PINNATOPORA sp.
POLYPORA aff. CIRCUMSCRIPTA
POLYPORA cf. HEXAGONALIS
POLYPORA cf. KARBOGENSIS
POLYPORA sp.
POLYPORA sp. A.
RAMIPORA sp.
SAFFORDOTAXIS? sp. A.
SEMICOSCINIUM cf. ALTAICUM
SEMICOSCINIUM sp. cf. S. GRANIFERUM
SEMICOSCINIUM cf. JARUSHEVSKYI
SEMICOSCINIUM aff. KISILSCHINICUM
SEMICOSCINIUM cf. KURJENSIS
SEMICOSCINIUM cf. PARVICARINATUM
SEMICOSCINIUM cf. STRIATUM
SEMICOSCINIUM sp.
SEMICOSCINIUM sp.
SEMICOSCINIUM sp. A.
SEMICOSCINIUM sp. B.
SEMICOSCINIUM sp. C.
SEMICOSCINIUM sp. indet.
SEPTOPORA sp. A.
SEPTOPORA? sp.
STEREOTOECHUS cf. S. TYPICUS
STOMATOPORA sp.
STREBLOTRYPA aff. ANOMALA
STREBLOTRYPA sp. A.
SULCORETEPORA cf. CRASSA
SULCORETEPORA? sp.
SULCORETEPORA sp.
TAENIOPORA sp.
THECOSTEGITES cf. BOUCHARDI
UNITRYPA cf. LATA
UNITRYPA sp.
VINELLA sp.
LIOCLEMA CLARA [sic]
RHOMBOPORA? TENUIS
HEXAGONELLA? FACETA
PARALIOCLEMA? MULTISPINOSUM
RHOMBOPORA? TENUIS
STREBLOTRYPA? CRASSA
BERENICEA cf. DILUVIANA
FENESTELLA sp.
POLYPORA sp.
STENOPORA sp.
STOMATOPORA sp.
CELLEPORA (MARGINARIA) PARISIENSIS
Ogivalia? lepida
Vibracella (Lunulites) bourgeoisi
Lunularia (Oligotresium) vicksburgensis
METRARABDOTOS (BIAVICULARIUM) CHIPOLANUM
METRARABDOTOS (POROMETRA) HELVETICUM CANARIENSE
METRARABDOTOS (POROMETRA) HELVETICUM THOMASI
METRARABDOTOS (POROMETRA) MALECKII
METRARABDOTOS (RHABDOTOMETRA) MICROPORA BUTLERAE
METRARABDOTOS (RHABDOTOMETRA) MICROPORA FLORIDANUM
METRARABDOTOS (RHABDOTOMETRA) VIGNEAUXI
METRARABDOTOS (UNIAVICULARIUM) KUGLERI
OGIVALINA? RAMIFORMIS
OGIVALINA? DENTICULATA
STEGANOPORELLA? [sic] DISCREPANS
Lepraliella? mooraboolensis
MAUSONIA [sic] BREVIMANDIBULATA
MEMBRANIPORA? CINCTA
MEMBRANIPORA sp.
METRARABDOTOS (UNIAVICULARIUM) UNGUICULATUM COOKAE
Notoplites? simplex
Puellina (Cribrilaria) bifida
ALCYONIDIUM CERVICORNIS [sic]
NIKIFOROVELLA? VERELLAFORMIS
'VINCULARIA' CRISTATA
BALANTIOSTOMA' VALLATA
Reptocelleporaria? vallata
PLAGIOECIA' CYRENAICA
Leptotrypa rara&
Pachydictya? suffruticosa
TREMATOPORA (ORTHOPORA) CARINATA
STREBLOTRYPA? THAIENSIS
Tabulipora? greenlandensiformis
CELLEPORA (DISCOPORA) CAMERATA
CELLEPORA (DISCOPORA) DEPRESSA
CELLEPORA (DISCOPORA) KONINCKIANA
CELLEPORA (ESCHARA) SUBPIRIFORMIS
CELLEPORA (ESCHARINA) PLICATELLA
ESCHARA (MEMBRANIPORA) VANDENBROECKI
ESCHARA (MEMBRANIPORA) VIGELIUSI
ESCHARA (MEMBRANIPORA) VINEI
IDMONEA PSEUDO-DISTICHA
Onychocella? ignabergensis
ONYCHOCELLA (OGIVA) INORNATA
IDMONEA PSEUDO-DISTICHA
Exochella? alata
Oochilina? valdemunita
Fungella (Fasciculipora) marsigli
Puncturiella (Puncturiellina) argia
Pseudothyracella? vandenbroecki
CORYNOTRYPA (CORYNOTRYPA) BASIPLANA
CORYNOTRYPA (CORYNOTRYPA) SKALENSIS
Phylloporinidae genus indet.
AUSTRALOFENESTELLA? KEEPITENSIS
EXFENESTELLA? FIDELIS
SEPTATOPORA? WILLIAMSENSIS
'Ceriopora' montisspeciei
Biflustra' chakrudensis
Onychocella abscondita var. borlaie
HERENTIA (HERENTIA) LATREILLAE GLIMMERODENSIS
HERENTIA (THERENIA) AMERICANA
HERENTIA (THERENIA) FALUNICA
'LICHENOPORA' INTERRADIATA
NEKHOROSHOVIELLA? SILURICA
PROFISTULIPORA? MICROCELLULARIS
Petraliella? pirikaensis
Monticulipora (Constellaria) polystomella
LEPTOTRYPELLA? RARITABULATA
LEPTOTRYPELLA? RARITABULATA
EUROPORA? SAFFORDOTAXIFORMIS
FENESTELLA (MINILYA) HEXAGONA
KLAUCENA (KLAUCENA) LALOLAMINA
KLAUCENA (SPIRA) SPIROFORMIS
MEEKOPORELLA? ISUTOENSIS
SAFFORDOTAXIS IMPLICATA [sic]
STENOPHRAGMIDIUM UNISPINIPORUS [sic]
STREBLOTRYPA (STREBLOTRYPA) ANGULATUM [sic]
GILMOROPORA [sic] UNICA
RHABDOMESON CONSIMILE MINUS [sic]
Biflustra' mathuri
CALLOPORA? SERONIAE
DECURELLA? ARNAUDAE
HERENTIA (THERENIA) ELONGATA
CHAPERIOPSIS (CHAPERIOPSIS) SPLENDIDA
ENTALOPHORA PROBOSCINA [sic] MINOR
FISTULIPORA PAVIMENTUM [sic]
LEPTOTRYPA? CASSA
MEMBRANIPORA' RECTANGULATA
MEMBRANIPORA' SUBCLAVATOIDES
PUNCTURIELLA (PUNCTURIELLINA) SUBSCULPTA
Celleporella (Neothoa) chiloensis
Escharella? nilotica
MEMFILISPARSA? PROFUNDABRANIPORELLA GIGAS
PUSTULIPORA [sic] CIRCULATA
PUSTULIPORA [sic] CIRCULATA
Eridotrypella? exilis
THAMNISCUS? NIAGARENSIS
Vinella? multiradiata
Vibracella (Pavolunulites) elegans
LUNULITES (CUPULARIA) RUTELLA
LUNULITES (DISCOFLUSTRELLARIA) BOUEI CONCAVA
Lunulites (Discoflustrellaria) bouei duclosii
SMITTIA (REUSSIA) PATAGONICA
STEGANOPORELLA [sic] LATERALIS
ALYSIDIUM INORNATA [sic]
Drepanophora? lateralis
Lunulites? rutella
Dekayella (Dyscritella) multifida
MELICERTITES [sic] VINDINNENSIS
Semieschara? protecta
Celleporaria (Dentiporella) sardonica
TABULIPORA YO∆UNGI
BERENICEA' TENUIS
ALLONEMA? MINIMUM
MONTICULIPORA (HETEROTRYPA) CIRCULARIS
MONTICULIPORA (HETEROTRYPA) CLINTONENSIS
MONTICULIPORA (HETEROTRYPA) GIRVANENSIS
MONTICULIPORA (HETEROTRYPA) ULRICHII
MONTICULIPORA (HETEROTRYPA) WINCHELLI
Monticulipora (Heterotrypa) barrandei
MONTICULIPORA (HETEROTRYPA) GIRVANENSIS
Fenestella (Unitrypa?) consimilis
Heterotrypa? moniliformis
Monticulipora (Heterotrypa) moniliformis
MONTICULIPORA (HETEROTRYPA) TUMIDA MILIARIA
MONTICULIPORA (HETEROTRYPA) BITTNERI
Multigalea? fittoni
CELLEPORA (DISCOPORA) BIDENS
CELLEPORA (MARGINARIA) DESHAYESI
CELLEPORA?NOVA
CELLEPORA SERA-PENSILIS
PUSTULIPORA [sic] BENEDENIANA
Aimulosia? japonica
TREMATOPORA? (TRACHYPORA?) MINUTA
Steginopora (Ubaghsia) arcifera
Cellulipora? rugosa
Diastopora (Cellulipora) sulcata
Schismopora costazei [sic]
'Schismopora' avicularis
Cellulipora' mamillosa
Cellulipora? licheniformis
CELLEPORA (?DERMATOPORA) FAUJASII
CATENICELLA? PUNCTATA
TRETOCYCLOECIA [sic] AVELLANA
ACAMARCHIS TRIDENTATUS [sic]
Menipea cirrhata [sic]
Lichenopora novae-hollandiae
Aspendesia [sic] spongiosa
Lichenopora' circularis
Kololophos? phillipsi
MEMBRANIPORA (FORATELLA) GLANGEAUDI
Smittina? leda
HETEROPORA (MULTICRESCIS) ARBUSCULA
Lichenalia? calycula
MONTICULIPORA (HETEROTRYPA?) ECCENTRICA
PTILODICTYA (STICTOPORA) GILBERTI
LEPTOTRYPELLA (PYCNOBASIS) POLITA
Vibracella (Lunulites) papyracea
Mollia raricostata [sic]
PORINA? INVERSA
MUCRONELLA (PHYLACTELLA?) CANALIFERA
PORINA? INVERSA
Puellina (Cribrilaria) scripta
Porina? gracilis
LEPRALIA? REVERSA
Schizomavella? australiensis
Poricella? fourtaui
Schizopodrella (Stephanosella) biaperta
DEFRANCEA [sic] BRENDOLENSIS
CHAETETES? NODULOSUS
CHAETETES? ONEALLI
MONOTRYPA (?CHAETETES) CUMULATA
MONTICULIPORA (HETEROTRYPA) ANDREWSI
CERIOPORA? HAMILTONENSIS
Calamopora? gnemidium
CELLEPORA (DERMATOPORA) MONILIFERA
SIPHONELLA (FLUSTRELLARIA) MULTIPORA
FLUSTRA? DUBOISII
FLUSTRA? DUTERTREI
Cabera [sic] barbata
Turbicellepora (Harmerella) ovalis
BATOSTOMA? DECIPIENS
CERAMOPORA? IRREGULARIS
HOMOTRYPELLA? SUBGRACILIS
MONTICULIPORA (HETEROTRYPA) IMPLICATA
FENESTRELLA [sic] LONSDALEI
FENESTELLA (TECTULIPORA) LOCULATA
