# ID
#   Unknown id number
# NUMBER
#   Unknown number
ID	AUTHOR	YEAR	TEXT	TITLE	NUMBER	PAGES
1038	M. M. Barbosa	1971	Cupuladria canariensis (Busk) no Brasil. Bryozoa: Cheilostomata, Anasca	Boletim do Museu Nacional de Rio de Janeiro Geologia	35	1-6
1039	E. Voigt and H. Ernst	1985	Talmontipora n.g., ein neues aberrantes cyclostomes Bryozonengenus aus der Oberkreide der aquitanischen Beckens (Frankreich)	Nachrichten der Akademie der Wissenschaften in Göttingen, II Mathematisch-physikalische Klasse	1985	101-113
1040	V. P. Nekhoroshev	1936	New findings of Silurian bryozoans [in Russian]	Tr TsNIGRI	Vyp. 61	1-40
1041	R. M. Männil	1961	Morphology of the hemispheric zoaria of bryozoan order Trepostomata [in Russian]	Geologia-Inst Uurim	6	113-140
1042	V. P. Nekhoroshev	1932	Microscopic method of study of Palaeozoic bryozoans of the Family Fenestellidae [in Russian]	Izv Vses geol razv obed Uprav	51	279-303
1043	V. S. Sokurov	1975	Bryozoans of the genus Smittina (Cheilostomata) from the Paleogene of Mangyshlak	Paleontologicheskii Zhurnal	1975	117-120
1044	V. D. Lavrentjeva	1974	Late Devonian and Early Tournaisian bryozoans of the central part of the Russian Platform [In Russian]	Paleontologicheskii Zhurnal	1974	45-53
1045	R. V. Gorjunova	1972	Composition and systematic position of the bryozoan family Actinotrypidae [in Russian]	Paleontologicheskii Zhurnal	1972	147-150
1046	G. V. Kopaevich	1971	On the genus Diploclema (Bryozoa) and its members from the Silurian deposits of Estonia [in Russian]	Paleontologicheskii Zhurnal	1971	119-123
1047	G. V. Balakin	1969	New Lower Carboniferous fenestellids from northeastern Uzbekistan [In Russian]	Paleontologicheskii Zhurnal	1969	53-57
1048	E. I. Androsova	1973	The Bryozoa of the Antarctic and subantarctic [in Russian]	Informatsionnyi Byulleten' Sovetskoi Antarkticheskoi Ekspeditii	87	65-69
1049	S. A. Krazhan, G. A. Olivari and V. S. Rotovskaya	1971	Benthos of subsaline water ponds of the Sivash area in the Kherson region [In Russian, English summary]	Gidrobiol. Zh.	7	56-62
1050	L. A. Viskova	1974	The new generic name Voigtiellina Viskova, nom. nov. [in Russian]	Paleontologicheskii Zhurnal	1974	128
1051	G. G. Astrova	1971	Morphology and functional significance of acanthopores in the Trepostomata (Bryozoa) [in Russian]	Paleontologicheskii Zhurnal	1971	72-79
1052	G. G. Astrova	1970	Early Devonian trepostomatous bryozoans from Czechoslovakia [in Russian]	Paleontologicheskii Zhurnal	1970	52-56
1053	T. A. Favorskaya	1970	A new bryozoan from the Cretaceous-Palaeogene boundary beds of the southern USSR [in Russian]	Paleontologicheskii Zhurnal	1970	119-122
