unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
137126	20720	immersa	113		1956	Bock	7/3/2004	Nomen nudum; 
138328	20834	immersa	113		1880	Bock	7/3/2004	Recent, south Atlantic (Brazil);
138329	20834	immersa	113		1884	Bock	7/3/2004	Vide Cellepora imbellis;
139023	21329	immersa	113		1903	Bock	7/3/2004	non (Busk, 1859); Vide Membranipora imbellis;
139711	20943	immersa	113		1880	Bock	7/3/2004	Etiam Escharina fide Milne Edwards in Lamarck (1836);   Recent, Mediterranean;
133166	21159	immersa labiosa	113		1856	Bock	7/3/2004	Vide Cellepora imbricata;
133167	21159	immersa octodentata	113		1880	Bock	7/3/2004	Nunc Ctenostomida;   Etiam Bowerbankia fide Farre (1837);   Recent, Atlantic;
130769	20156	immersum	113		1884	Bock	7/3/2004	Nunc Foveolaria fide Hayward & Cook (1983);   Etiam Chapperia fide;   Etiam Membranipora fide Waters (1898);   Recent, Indian Ocean (South Africa);
136472	21249	immersum	113		1884	Bock	7/3/2004	Vide Berenicea immersa;
132926	20330	impar	113		1890	Bock	7/3/2004	Vide Berenicea immersa;
138330	20834	impar	113		1890	Bock	7/3/2004	Nunc Tetraplaria fide Harmer (1957);   Etiam Schizoporella fide Waters (1888);   Recent, Pacific (Australia: Queensland);
131231	21264	imperati	113		1841	Bock	7/3/2004	1952 in Horowitz; Recent, Pacific (Kurile Islands);
137601	10090	imperati	113		1884	Bock	7/3/2004	non (Busk, 1884); Vide Onchopora immersa;
138009	21314	imperati	113		1884	Bock	7/3/2004	non (Haswell, 1880); Vide Myriozoum immersum;
138551	20836	imperati	113		1884	Bock	7/3/2004	Recent, Atlantic (Gulf of Gascony);
132914	10090	imperfecta	113		1929	Bock	7/3/2004	Vide Onchopora immersa;
134006	20399	imperfecta	113		1928	Bock	7/3/2004	Vide Lepralia labiosa;
134254	20447	imperfecta	113		1928	Bock	7/3/2004	Vide Mucronella peachii octodentata;
140117	21079	imperfecta	113		1957	Bock	7/3/2004	Vide Myriozoum immersum;
129577	20014	imperforata	113		1884	Bock	7/3/2004	Species typica Catadysis Canu & Bassler, 1927;   Nunc Catadysis fide Canu & Bassler (1927);   Recent, south Atlantic;
130248	20123	imperforata	113		1967	Bock	7/3/2004	Vide Schizoporella impar;
136132	20581	imperforata	113		1884	Bock	7/3/2004	Nunc Hippoporina fide?;  Etiam Emballotheca fide Canu & Bassler (1929);   Recent, Pacific (Australia, Philippines);
138331	20834	imperforata	113		1967	Bock	7/3/2004	Recent, Mediterranean;
130737	20152	imperialis	113		1869	Bock	7/3/2004	Species typica Schizellozoon Canu & Bassler, 1917;   Etiam Retepora tesselata imperati fide Jelly (1889);   Nunc Schizellozoon Canu & Bassler (1917);   Etiam Schizoretepora fide Gautier (1962);   Recent, Atlantic (Azores), Mediterranean;
133773	20379	imperialis	113		1869	Bock	7/3/2004	Vide Retepora imperati;
141629	30303	imperialis	113		1890	Bock	12/3/2004	Vide Retepora imperati;
134106	20423	implicata	113		1907	Bock	7/3/2004	Non Emballotheca fide Rogick (1955);   Recent, Pacific (Philippines);
132695	10090	impressa	113		1846	Bock	7/3/2004	Nunc Hippaliosina fide Marcus (1953);   Recent, Atlantic (Brazil);
133280	20344	impressa	113		1846	Bock	7/3/2004	Vide Gephyrophora imperfecta;
133774	20379	impressa	113		1803	Bock	7/3/2004	Nunc Catenicella ;   Recent, Pacific (Indonesia);
133775	20379	impressa	113		1826	Bock	7/3/2004	Vide Adeonella distoma imperforata;
135610	20566	impressa	113		1803	Bock	7/3/2004	Vide Schizoporella imperforata;
136018	20580	impressa	113		1803	Bock	7/3/2004	Vide Microporella distoma imperforata;
136133	20581	impressa	113		1826	Bock	7/3/2004	Subjective synonym (possible) Buffonella rimosa fide Gordon (1984);   Recent, Pacific (New Zealand);
136134	20581	impressa	113		1905	Bock	7/3/2004	Etiam Flustra fide Jelly (1889);   Recent,;
137453	21260	impressa	113		1803	Bock	7/3/2004	Vide Carbasea imperialis;
137479	20790	impressa	113		1826	Bock	7/3/2004	Recent, Pacific (Japan);
137801	21305	impressa	113		1846	Bock	7/3/2004	[?1906]; Species typica Heliodoma Calvet, 1907 [?1906];   Recent, tropical Atlantic;
139760	20946	impressa	113		1803	Bock	7/3/2004	Vide Escharina impressa;
