# TAXON-ID
#   Taxon id number
# AUTHOR
#   Author of Authoritative Listing of name
# 
TAXON-ID	AUTHOR
10	1092
100	1052
110	1102
120	1102
200	1171
201	1037
202	1079
203	1109
204	1072
205	1190
206	1171
207	1171
208	1102
209	1009
301	1088
302	1112
303	1103
304	1174
305	1129
310	1171
311	1151
312	1119
313	1091
314	1253
315	1076
316	1129
320	1009
321	1103
322	1245
323	1245
324	1245
325	1295
326	1009
327	1245
328	1129
340	1210
341	1210
342	1083
343	1059
344	1059
360	1037
361	1109
500	1112
501	1004
502	1129
520	1112
521	1272
522	1129
523	1272
524	1272
525	1129
1009	1052
1010	1247
1011	1247
1020	1247
1021	1247
1022	1247
1023	1247
1024	1247
1025	1247
1026	1247
1027	1247
1028	1247
1029	1247
1030	1247
1031	1247
1032	1247
1033	1247
1034	1247
1035	1247
1036	1247
1037	1247
1038	1247
1039	1247
1040	1247
1041	1247
1042	1247
1043	1247
1044	1247
1045	1247
1046	1247
1047	1247
1048	1247
1049	1247
1050	1247
1051	1247
1052	1247
1053	1247
1054	1247
1055	1247
1056	1247
1080	1247
1081	1247
1082	1247
1083	1247
1084	1247
1085	1247
1086	1247
1087	1247
1088	1247
1089	1247
1090	1247
1091	1247
1092	1247
1093	1247
1094	1247
1110	1247
1111	1247
1112	1247
1113	1247
1114	1247
1115	1247
1116	1247
1117	1247
1118	1247
1119	1247
1120	1247
1121	1247
1122	1247
1123	1247
1124	1247
1125	1247
1126	1247
1127	1247
1128	1247
1129	1247
1130	1247
1131	1247
1132	1247
1133	1247
1134	1247
1135	1247
1136	1247
1140	1247
1141	1247
1142	1247
1143	1247
1144	1247
1145	1247
1146	1247
1147	1247
1148	1247
1149	1247
1150	1247
1151	1247
1152	1247
1300	1283
1301	1091
1302	1077
1303	1306
1304	1045
1305	1292
1306	1077
1307	1004
1308	1016
1309	1091
1310	1009
1311	1077
1312	1122
1315	1308
1316	1077
1317	1052
1318	1019
1319	1151
1320	1077
1321	1045
1322	1077
1333	1052
1334	1171
1335	1052
1336	1253
1337	1004
1338	1171
1339	1128
1340	1004
1341	1128
1342	1019
1343	1037
1344	1019
1345	1151
1346	1052
1347	1091
1348	1004
1349	1091
1350	1122
1351	1299
1352	1299
1353	1091
1354	1316
1355	1128
1356	1171
1357	1009
1358	1129
1359	1129
1360	1129
1361	1129
1400	1103
1401	1009
1402	1245
1403	1245
1404	1037
1405	1103
1406	1245
1407	1245
1408	1103
1409	1103
1410	1103
1411	1129
1412	1174
1413	1009
1414	1245
1450	1103
1451	1245
1452	1009
1453	1257
1454	1304
1455	1103
1456	1305
1457	1257
1458	1307
1459	1166
1460	1103
1461	1037
1462	1103
1463	1103
1464	1088
1465	1186
1466	1174
1467	1174
1468	1257
1469	1068
1470	1110
1471	1166
1472	1103
1473	1102
1475	1174
1476	1307
1477	1136
1478	1314
1479	1166
1480	1245
1481	1077
1482	1031
1483	1129
1484	1129
1485	1257
1486	1257
1487	1066
1488	1166
1489	1257
1600	1171
1601	1004
1602	1088
1603	1171
1604	1236
1605	1063
1606	1171
1607	1197
1608	1009
1609	1112
1610	1257
1611	1165
1612	1299
1613	1037
1614	1101
1615	1171
1616	1006
1617	1128
1618	1171
1619	1236
1620	1174
1621	1088
1622	1272
1623	1236
1624	1110
1625	1112
1626	1129
1627	1129
1628	1129
1629	1129
1630	1129
1631	1129
1632	1037
2000	1110
2001	1171
2002	1171
2003	1004
2004	1112
2005	1006
2006	1088
2007	1088
2008	1088
2009	1288
2010	1128
2011	1129
2012	1161
2013	1171
2014	1284
2015	1129
2016	1193
2017	1006
2018	1111
2019	1183
2020	1236
2021	1241
2022	1063
2023	1284
2024	1077
2025	1171
2026	1101
2027	1009
2028	1088
2029	1266
2030	1037
2031	1171
2032	1110
2033	1006
2034	1204
2035	1098
2036	1073
2037	1112
2039	1006
2040	1019
2041	1112
2042	1257
2043	1006
2044	1023
2045	1309
2046	1257
2047	1272
2048	1165
2049	1219
2050	1006
2051	1299
2052	1225
2053	1077
2054	1006
2055	1151
2056	1225
2057	1257
2058	1110
2059	1112
2060	1112
2061	1110
2062	1171
2063	1101
2064	1310
2065	1019
2066	1037
2067	1129
2068	1006
2069	1151
2070	1311
2071	1310
2072	1112
2073	1006
2074	1171
2075	1006
2076	1312
2077	1129
2078	1088
2079	1110
2080	1111
2081	1058
2082	1112
2083	1006
2084	1112
2085	1023
2086	1293
2087	1128
2088	1110
2089	1272
2090	1112
2091	1171
2092	1006
2093	1257
2095	1236
2096	1272
2097	1257
2098	1236
2099	1129
2100	1058
2101	1088
2102	1109
2103	1073
2104	1075
2105	1268
2106	1272
2107	1110
