ARTICLE-ID	YEAR	ARTICLE-TEXT
2700	1867	1867. Kritisk förteckning öfver Skandinaviens Hafs-Bryozoer. II. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 23: 395-534.
2701	1865	1865. Kritisk Förteckning öfver Skandinaviens Hafs-Bryozoer: Pt I. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 22: 115-149.
1073	1965	1965. Problematica aus dem inner-alpinen Tertiär Pseudarcella Spandel, emend. und Bicornifera n.g.. Neues Jahrbuch für Geologie und Paläontologie Monatshefte. 1965: 18-29.
2135	1949	1949. Révision des Bryozoaires néogènes du Bassin d'Aquitaine et essai de classification. Mémoires de la Société Géologique de France, n.s.. 28: 1-153.
2136	1953	1948-53 [1953]. Sur un genre nouveau appartenant à la famille des Schizoporellidae. P. V. Soc. Sci. Bordeaux. : 16-17.
5251	1906	1906. Eine Süsswasserbryozö (Plumatella) aus Java. Mitteilungen aus dem Naturhistorischen Museum. 23: 143-146.
5252	1892	1892. Die deutschen Süsswasser-Bryozöen. II. Entwickelungs-geschichtlicher Teil. Abhandlungen aus dem Gebiete der Naturwissenschaften herausgegeben vom Naturwissenschaftlichen Verin in Hamburg. 12: 1-67.
5253	1887	1887. Die deutschen Süsswater-Bryozoen. Eine Monographie. I. Antomisch-systematomisch Teil. Abhandlungen aus dem Gebiete der Naturwissenschaften herausgegeben vom Naturwissenschaftlichen Verin in Hamburg. 10: 1-168.
5957	1932	1932. Bryozoen der deutschen Tiefsee-expedition. 1 Teil. Wissensch ergegbn deutsch Tiefsee-Exped. 21: 319-380.
1062	1840	1840. Description of a new genus of British Zoophyte. Annals and Magazine of Natural History. 5: 272-274.
3716	1881	1881. Eine neue Bryozoe der Adria, Gemellaria (?) avicularia. Jahresbericht der Westfälischen Provinzialvereins für Wissenschaft und Kunst, Münster pro 1880. 9: 43-48.
1094	1893	1893. Bryozoaires du Sénonien de Sainte-Paterne, de Lavardin, et de la Ribochère. Bulletin de la Société Belge de Géologie. 6: 200-217.
1098	1895	1895. Les Bryozoaires du Sénonien de la carrière de l'Arche de Lè, près Chartres. Bulletin de la Société Belge de Géologie. 8: 131-140.
1099	1888	1888. Sur l'âge de la partie supérieure du tufeau de Ciply. Bulletin de la Société‚ Belge de Géologie. 1: 204-207.
1185	1894	1894. Nouveaux bryozoaires du Crétacé du Limbourg. Bulletin de la Société Belge de Géologie. 7: 172-189.
1425	1887	1887. Bryozoaires des environs de Buda. Bulletin de la Société Belge de Géologie. 10: 359-368.
3754	1895	1895. Note sur l'identification et la séparation des espèces dans le groupe les Bryozoaires. Bulletin de la Société Belge de Géologie. 9: 8-11.
3755	1895	1895. Bryozoaires du Sénonien de la carrière de Cachemback près Chartres (Faubourg Saint Barthélemy). Bulletin de la Société Belge de Géologie. 8: 181-184.
3756	1891	1891. Bryozoaires du Miocène du Gard. Bulletin de la Société Belge de Géologie. 5: 46-53.
3757	1890	1890. Nouveaux Bryozoaires Cyclostomes du Crétacé. Bulletin de la Société Belge de Géologie. 4: 277-279.
3758	1889	1889. Untersuchungen an Seebryozoen. Zoologischer Anzeiger. 12: 504-510.
3759	1889	1889. Révision des Bryozoaires du Crétacé figurés par d'Orbigny. I Part. Cyclostomata. Memoires de la Societé Belge de Géologie, de Paléontologie et d'Hydrologie. 3: 305-400.
3760	1889	1889. Notes succintes des Bryozoaires. 3. Bryozoaires dragués par M.Lennier aux environs de Cherbourg (Brest in error). Bulletin de la Société Royale Malacologique de Belgique. 24: 60-62.
3761	1889	1889. Notes succintes des Bryozoaires. 2. Bryozoaires dragués par M.G.Dolfuss dans le nord-ouest de la Méditerranée. Bulletin de la Société Royale Malacologique de Belgique. 24: 57-60.
3762	1889	1889. Notes succintes des Bryozoaires. 1. Sur les Bryozoaires du Miocène de la Russie méridionale. Bulletin de la Société Royale Malacologique de Belgique. 24: 20-24.
3763	1889	1889. Zur fossilen Bryozoenfauna von Wola Lu'zanska. Bulletin de la Société Belge de Géologie. 3: 59-72.
3764	1888	1888. Deux nouveaux types de Bryozoaires Cténostomes. Annales de la Société Royale Malacologique de Belgique, Memoires. 23: 340-343.
3765	1887	1887. Note préliminaire sur les Bryozoaires fossiles des environs de Kolosvar. Bulletin de la Société Royale Malacologique de Belgique. 22: 33-37.
3766	1887	1887. Note supplémentaire sur les bryozoaires du Tasmadjan. Bulletin de la Société Royale Malacologique de Belgique. 22: 59-60.
3767	1887	1887. Les Bryozoaires du Tasmadjan à Belgrade. Bulletin de la Société Royale Malacologique de Belgique. 22: 12-28.
3768	1887	1887. Contributions à l'Histoire des Bryozoaires et des Hydrozoaires récents. Bulletin de la Société Royale Malacologique de Belgique. 22: 75-90.
3769	1887	1887. Pliocäne Bryozoen von Rhodos. Annalen des kk naturhistorischen Hofmuseums, Wien. 2: 1-34.
6729	1994	1994. Bryozoa of the Mojcza Limestone. Palaeontologia Polonica. 53: 253-282.
6730	1992	1992. Early astogeny and relationships of the Ordovician rhabdomesine bryozoans. Acta Palaeontologica Polonica. 37: 37-54.
6731	1991	1991. Possible solitary bryozoan ancestors from the Early Palaeozoic and the affinities of the Tentaculita. BULLETIN DE LA SOCIETE DES SCIENCES NATURELLES DE L'OUEST DE LA FRANCE MEMOIRE HORS DE SERIE No. 1: 121-131.
6732	1981	1981. Evolutionary relationships of the Early Paleozoic cyclostomatous Bryozoa. Palaeontology. 24: 827-862.
6733	1981	1981. Evolutionary relationships of the Early Palaeozoic 'cyclostomatous' Bryozoa. Palaeontology. 24: 827-861.
6734	1975	1975. The origin and early phylogeny of the cheilostomatous Bryozoa. Acta Palaeontologica Polonica. 20: 395-423.
7397	1979	1979. Comparative shell microstructure of the Mollusca, Brachiopoda and Bryozoa. Scanning Electron Microscopy. 2: 439-446.
7398	1882	1882. Remarkable forms of Cellepora and Palythoa from the Senegambian coast. Annals and Magazine of Natural History. (5) 9: 416-419.
7399	1858	1858. Description of a lacustrine Bryozoon allied to Flustra. Annals and Magazine of Natural History. (3)1: 169-171.
1027	1926	1926. Bryozoaires Bartoniens du bassin Franco-belge. Bulletin de la Societé géologique de France. 25: 741-761.
1032	1919	1919. Etude sur les ovicelles des Bryozoaires cyclostomes (2d contribution). Bulletin de la Societé géologique de France. 17: 345-347.
1033	1919	1919. Etude sur les ovicelles de la famille des Corymboporidae Smitt, 1866. Bulletin de la Societé géologique de France. (4) 17: 348-349.
1113	1913	1913. Contributions a l'etude des Bryozoaires fossils. Bryozoaires jurassiques. Bulletin de la Societé géologique de France. 13: 267-276.
1118	1931	1931. Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny. Annales de Paléontologie. 20: 136-141.
1124	1911	1911. Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny. Annales de Paléontologie. 6: 67.
1128	1897	1897. Bryozoaires du Cénomanien de St. Calais (Sarthe). Bulletin de la Societé géologique de France. 25: 737-754.
1130	1914	1914. Les bryozoaires fossiles des terrains du Sud-Ouest de la France. VIII. Rupélien de Gaas. Bulletin de la Societé géologique de France. 14: 465-474.
1134	1899	1899. Les Ovicelles des Céidées. Bulletin de la Societé géologique de France. (3) 27: 326-327.
1135	1897	1897. Bryozoaires du Cénomanien des Janières (Sarthe). Bulletin de la Societé géologique de France. 25: 146-159.
1138	1927	1927. Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny. Annales de Paléontologie. 16: 102.
1165	1900	1900. Note préliminaire sur les bryozoaires de Tours. Comptes Rendus Association française Avancement Science. 1899, Sess. 2: 406-411.
1210	1922	1922. Bryozoaires. Annales de Paléontologie. 11: 16-30.
1251	1918	1918. Les Bryozoaires fossiles de la région des Corbières. Bulletin de la Societé géologique de France. (4) 18: 294-314.
1368	1909	1909. Bryozoaires des terrains tertiaires des environs de Paris. Annales de Paléontologie. 4: 101-140.
7451	1928	1928. Trois nouveaux Bryozoaires d'eau douce. Bulletin de la Société d'Histoire naturelle de l'Afrique du Nord. 19: 262-264.
7452	1925	1925. Les Bryozoaires du Lutécien de Saint-Germain-en-Laye. Bulletin de la Société des Sciences de Seine-et-Oise. 6: 46-48.
7453	1925	1925. Contributions a l'étude des Bryozoaires fossiles. Contribution 7. Diestien d'Anvers. Bulletin de la Societé géologique de France. (4) 25: 763-766.
7454	1924	1924. Bryozoaires. Bulletin de l'Institut océanographique, Monaco. 438: 13-17.
7455	1923	1923. Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny. Annales de Paléontologie. 12: 152-155.
7456	1920	1920. Bryozoaires Crétacés des Pyrénées. Bulletin de la Societé géologique de France. (4) 19: 186-211.
7457	1919	1919. Hippaliosina, un nouveau genre de Bryozoaires. Bulletin de la Societé géologique de France. (4) 18: 88-94.
7458	1918	1918. Les ovicelles des Bryozoaires cyclostomes. Étude sur quelques familles nouvelles et anciennes. Bulletin de la Societé géologique de France. (4) 16: 324-335.
7459	1917	1917. Danmark Ekspeditionene til Groenlands nordostkyst 1906-1908. Bryozoa, par G.M.Levinsen. Rev criti Paleozool. 21: 29-37.
7460	1917	1917. Les bryozoaires fossiles des terrains du Sud-Ouest de la France. XI - Rupélien. Bulletin de la Societé géologique de France. 17: 350-361.
7461	1917	1917. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. 16: 127-152.
7462	1916	1916. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. 15: 320-334.
7463	1914	1914. Les bryozoaires fossiles des terrains du Sud-Ouest de la France. VII. Lutécien. Bulletin de la Societé géologique de France. (4) t.13: 298-303.
7464	1913	1913. Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny. Annales de Paléontologie. 8: 168-171.
7465	1913	1913. Études morphologiques sur trois nouvelles Familles de Bryozoaires. Bulletin de la Societé géologique de France. (4) 13: 132-147.
7466	1913	1913. Contributions a l'etude des Bryozoaires fossiles. 3 - Pliocène d'Alger, Astien de Nice, Tortonien de Baden, Tortonien, Helvétien, Burdigalien du Bassin du Rhône, Astien de Valle Andona, Helvétien de Superga, Burdigalien supérieur de Baldissera. Bulletin de la Societé géologique de France. (4) t.13: 124-131.
7467	1912	1912. Etude comparée des Bryozoaires helvétiens de l'Egypte avec les Bryozoaires vivants de la Méditerranée et de la Mer Rouge. Mém inst égyptien. 6: 185-236.
7468	1912	1912. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. (4) t.12: 623-630.
7469	1911	1911. Iconographie des Bryozoaires fossiles de l'Argentine. Annales musee nacional Buenos Aires. 21: 215-291.
7470	1911	1911. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. 11: 442-445.
7471	1910	1910. Bryozoaires In Types du Prodrome de Paleontologie de Alcide d'Orbigny. Annales de Paléontologie. 5: 74-81.
7472	1910	1910. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. 10: 840-855.
7473	1910	1910. Bryozoaires des terrains tertiaires des environs de Paris. Annales de Paléontologie. 5: 89-112.
7474	1909	1909. Les bryozoaires fossiles des terrains du Sud-Ouest de la France. III - Burdigalien, IV - Helvétien. Bulletin de la Societé géologique de France. (4) t.9: 442-458.
7475	1908	1908. Iconographie des bryozoaires fossiles de l'Argentine, pt 1. Anales de Museo Nacional de Buenos Aires. 10: 245-341.
7476	1908	1908. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. 8: 382-390.
7477	1908	1908. Les Bryozoaires des terrains tertiaires des environs de Paris. Annales de Paléontologie. 3: 61-104.
7478	1907	1907. Bryozoaires des terrains tertiaires des environs de Paris. Annales de Paléontologie. 2: 137-160.
7479	1907	1907. Bryozoaires des terrains tertiaires des environs de Paris. Annales de Paléontologie. 2: 57-89.
7480	1907	1907. Bryozoaires fossiles des terrains du Sud-Ouest de la France. Bulletin de la Societé géologique de France. 6: 510-518.
7481	1906	1906. Les bryozoaires fossiles des terrains du Sud-Ouest de la France. I - Aquitanien. Bulletin de la Societé géologique de France. (4) 6: 510-508.
7482	1904	1904. Les bryozoaires du Patagonien. Échelle des bryozoaires pour les terrains tertiares. Mémoires de la Société Géologique de France. Paléontologie. 12: 1-30.
7483	1904	1904. Étude des bryozoaires tertiaires recueillis en 1885 et 1886 par M. Ph. Thomas dans la région sud de la Tunisie. Explor Sci Tunisie. 1904: 1-37.
7484	1904	1904. Contributions à l'étude des Bryozoaires fossiles. Description de quelques Membranipores de Tunisie. Bulletin de la Societé géologique de France. (4) 3: 659-661.
7485	1903	1903. Note sur la constance de la faune de la craie de Villedieu. Bulletin de la Societé géologique de France. (4) 3: 265-268.
7486	1902	1902. Bryozoaires fossiles: I. Collection Campiche (Néocomien); II. Collection Dutemple (Sénonien supérieur). Bulletin de la Societé géologique de France. (4) 2: 10-14.
7487	1900	1900. Révision des Bryozoaires du Crétacé figurés par d'Orbigny. II, Cheilostomata. Bulletin de la Société géologique de France. (3) 28: 334-463.
7488	1898	1898. Etude sur les ovicelles des Bryozoaires du Bathonien d'Occaignes. Bulletin de la Société géologique de France. (3) 26: 259-285.
5190	1974	1974. Crisia and Crisidia (Bryozoa Cyclostmata) from the Upper Maastrichtian near Maastricht. Bryozoa 1974: Docum. Lab Géol. Fac. Sci. Lyon. H. S. 3: 583-594.
5191	1969	1969. Paleocene Bryozoa from a boring in Surinam. Geologie en Mijnbouw. 48: 165-175.
5192	1968	1968. First fossil finds of six genera of Bryozoa Cheilostomata. Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano. 108: 345-360.
5193	1968	1968. Fossil Bryozoa reveal long-distance sand transport along the Dutch coast. Proceedings of the Koninklijke Nederlandse Akademi van Wetenschappen, Amsterdam, Series B. 71: 31-50.
5194	1963	1963. Cupuladria canariensis (Busk) - portrait of a bryozoan. Palaeontology. 6: 172-217.
5195	1963	1963. New additions to the bryozoan fauna of the Gulf of Mexico. Institute of Marine Science, Texas, Publication. 9: 181-236.
5196	1959	1959. Some species of new Bryozoa to the Bowden Beds, Jamaica, B.W.I.. Micropaleontology. 5: 482-486.
