TAXON-ID	ARTICLE-ID
100	1432
100	2092
100	2093
100	3005
100	3364
100	3873
100	4555
100	6627
100	7838
100	7932
100	7939
100	7940
110	1213
110	2785
110	2786
110	2814
110	2821
110	2857
110	2860
110	3364
110	3467
110	3868
110	4109
110	4555
110	4697
110	4856
110	4869
110	5238
110	6019
110	6296
110	6300
110	6303
110	6305
110	6331
110	6527
110	6627
110	7287
110	7295
110	7298
110	7337
110	7504
110	8519
120	1344
120	1632
120	1633
120	1636
120	1639
120	1640
120	1643
120	1646
120	1729
120	2120
120	2122
120	2123
120	2339
120	2497
120	2577
120	2707
120	2710
120	2739
120	2817
120	2819
120	2869
120	3339
120	3470
120	3471
120	3936
120	3982
120	4237
120	4238
120	4240
120	4253
120	4257
120	4258
120	4261
120	4332
120	4333
120	4474
120	4475
120	4696
120	4698
120	4699
120	4700
120	4702
120	4703
120	4704
120	4854
120	5102
120	5282
120	5465
120	5467
120	5570
120	5647
120	6160
120	6170
120	6412
120	6522
120	6533
120	6955
120	7157
120	7367
120	7492
120	7494
120	7495
120	7625
120	8216
120	8276
120	8348
120	8518
120	8520
200	1011
200	1122
200	1169
200	1206
200	1255
200	1295
200	1297
200	1367
200	1442
200	1505
200	1768
200	1804
200	1805
200	1808
200	1809
200	1817
200	1825
200	1911
200	1913
200	1914
200	1917
200	1927
200	1975
200	1978
200	1988
200	1991
200	1992
200	1995
200	1998
200	2000
200	2016
200	2019
200	2022
200	2028
200	2031
200	2038
200	2039
200	2111
200	2158
200	2159
200	2166
200	2177
200	2178
200	2184
200	2229
200	2318
200	2319
200	2437
200	2468
200	2644
200	2677
200	2771
200	2776
200	3090
200	3644
200	3645
200	3647
200	3648
200	3759
200	3867
200	3874
200	3890
200	4023
200	4094
200	4279
200	4281
200	4302
200	4309
200	4317
200	4405
200	4406
200	4407
200	4410
200	4411
200	4531
200	4560
200	4633
200	4634
200	4789
200	4950
200	5357
200	5619
200	5627
200	5628
200	5633
200	5800
200	5804
200	5805
200	5813
200	5837
200	5870
200	5926
200	5987
200	5998
200	6020
200	6027
200	6228
200	6271
200	6330
200	6532
200	6570
200	6610
200	6936
200	7118
200	7588
200	7643
200	7644
200	7663
200	7664
200	7705
200	7758
200	7759
200	7834
200	7835
200	7976
200	8412
200	8413
200	8414
200	8415
200	8453
201	0
202	5128
202	5129
203	3505
203	6242
204	0
205	4352
205	4554
205	6378
206	1213
206	1279
206	1289
206	1290
206	1367
206	1464
206	1629
206	1635
206	1667
206	1688
206	1804
206	1805
206	1808
206	1809
206	1817
206	1934
206	1938
206	1974
206	2025
206	2030
206	2036
206	2037
206	2046
206	2333
206	2334
206	2343
206	2639
206	2644
206	2648
206	2649
206	2650
206	2653
206	2879
206	3106
206	3355
206	3436
206	3437
206	3440
206	3441
206	3443
206	3445
206	3459
206	3631
206	3632
206	3634
206	3849
206	3890
206	4501
206	4603
206	4605
206	4606
206	4628
206	4629
206	4639
206	4868
206	5238
206	5358
206	5418
206	5520
206	5521
206	5524
206	5526
206	5527
206	5530
206	5538
206	5539
206	5543
206	5544
206	5880
206	5903
206	5987
206	6303
206	6414
206	6432
206	6524
206	6769
206	6979
206	7201
206	7286
206	7588
206	8054
206	8196
206	8198
206	8392
206	8413
206	8414
206	8415
206	8450
207	1001
207	1007
207	1012
207	1019
207	1020
207	1021
207	1038
207	1043
207	1058
207	1117
207	1202
207	1274
207	1284
207	1333
207	1374
207	1375
207	1378
207	1382
207	1383
207	1384
207	1388
207	1418
207	1465
207	1466
207	1483
207	1484
207	1500
207	1503
207	1623
207	1806
207	1810
207	1811
207	1863
207	1864
207	1865
207	1887
207	1976
207	1982
207	1990
207	1996
207	2000
207	2006
207	2007
207	2010
207	2018
207	2020
207	2025
207	2027
207	2034
207	2105
207	2107
207	2213
207	2262
207	2321
207	2325
207	2418
207	2524
207	2612
207	2636
207	2645
207	2647
207	2713
207	2774
207	2775
207	2795
207	2796
207	2802
207	2843
207	2857
207	2858
207	2859
207	2860
207	2864
207	2865
207	2867
207	2868
207	2892
207	2915
207	2985
207	3122
207	3183
207	3362
207	3363
207	3384
207	3422
207	3426
207	3433
207	3434
207	3435
207	3469
207	3597
207	3603
207	3604
207	3608
207	3611
207	3612
207	3613
207	3615
207	3616
207	3618
207	3655
207	3670
207	3703
207	3771
207	3794
207	3818
207	3868
207	3891
207	3892
207	3893
207	3913
207	3924
207	4018
207	4054
207	4064
207	4065
207	4066
207	4067
207	4068
207	4069
207	4072
207	4103
207	4282
207	4287
207	4290
207	4298
207	4304
207	4307
207	4311
207	4316
207	4318
207	4319
207	4320
207	4330
207	4331
207	4404
207	4412
207	4425
207	4565
207	4620
207	4627
207	4646
207	4681
207	4693
207	4849
207	4857
207	4946
207	4966
207	4967
207	4974
207	4975
207	4977
207	4988
207	4989
207	5015
207	5031
207	5192
207	5243
207	5261
207	5406
207	5407
207	5408
207	5473
207	5517
207	5519
207	5531
207	5536
207	5574
207	5617
207	5618
207	5638
207	5670
207	5680
207	5839
207	5847
207	5853
207	5854
207	5855
207	5857
207	5859
207	5861
207	5869
207	5883
207	5884
207	5890
207	5891
207	5892
207	5894
207	5897
207	5898
207	5899
207	5901
207	5904
207	5905
207	5917
207	5919
207	5929
207	5980
207	5984
207	5985
207	5990
207	6009
207	6014
207	6018
207	6022
207	6028
207	6032
207	6037
207	6147
207	6159
207	6177
207	6194
207	6303
207	6309
207	6329
207	6337
207	6338
207	6342
207	6345
207	6405
207	6451
207	6453
207	6454
207	6608
207	6611
207	6612
207	6613
207	6615
207	6738
207	6806
207	6807
207	6937
207	6977
207	7025
207	7026
207	7029
207	7035
207	7065
207	7167
207	7168
207	7169
207	7170
207	7171
207	7172
207	7173
207	7178
207	7180
207	7184
207	7187
207	7189
207	7196
207	7213
207	7248
207	7285
207	7349
207	7401
207	7487
207	7502
207	7503
207	7549
207	7589
207	7592
207	7648
207	7652
207	7654
207	7884
207	7892
207	7894
207	7897
207	7904
207	7982
207	7987
207	7990
207	7991
207	8084
207	8180
207	8182
207	8192
207	8193
207	8239
207	8271
207	8322
207	8330
207	8331
207	8332
207	8334
207	8382
207	8411
207	8420
207	8447
207	8448
207	8449
207	8525
208	1719
208	2571
208	2707
208	4237
208	5570
208	6160
208	8216
209	3009
301	0
302	5026
303	6876
304	4648
305	0
310	0
311	0
312	0
313	0
314	0
315	2092
315	2093
315	6041
316	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
340	0
341	7868
342	3244
342	3245
343	0
344	0
360	3506
361	0
