TAXON-ID	RANK
23419	Cenozoic, Recent
23446	Cenozoic, Recent
23494	Cenozoic, Recent
23502	Cenozoic, Recent
23519	Cenozoic, Recent
23566	Cenozoic, Recent
23596	Cenozoic, Recent
23609	Cenozoic, Recent
23614	Cenozoic, Recent
23620	Cenozoic, Recent
23659	Cenozoic, Recent
23663	Cenozoic, Recent
23687	Cenozoic, Recent
23689	Cenozoic, Recent
23706	Cenozoic, Recent
23718	Cenozoic, Recent
23722	Cenozoic, Recent
23723	Cenozoic, Recent
23727	Cenozoic, Recent
23732	Cenozoic, Recent
23733	Cenozoic, Recent
23735	Cenozoic, Recent
23739	Cenozoic, Recent
23740	Cenozoic, Recent
23744	Cenozoic, Recent
23830	Cenozoic, Recent
23831	Cenozoic, Recent
23835	Cenozoic, Recent
23859	Cenozoic, Recent
23866	Cenozoic, Recent
23908	Cenozoic, Recent
23913	Cenozoic, Recent
23960	Cenozoic, Recent
23962	Cenozoic, Recent
23967	Cenozoic, Recent
23971	Cenozoic, Recent
23981	Cenozoic, Recent
23985	Cenozoic, Recent
23999	Cenozoic, Recent
24018	Cenozoic, Recent
24095	Cenozoic, Recent
24096	Cenozoic, Recent
24122	Cenozoic, Recent
24138	Cenozoic, Recent
24175	Cenozoic, Recent
24186	Cenozoic, Recent
24188	Cenozoic, Recent
24228	Cenozoic, Recent
24282	Cenozoic, Recent
24291	Cenozoic, Recent
24310	Cenozoic, Recent
24346	Cenozoic, Recent
24385	Cenozoic, Recent
24391	Cenozoic, Recent
24400	Cenozoic, Recent
24403	Cenozoic, Recent
24410	Cenozoic, Recent
24418	Cenozoic, Recent
24424	Cenozoic, Recent
24447	Cenozoic, Recent
24460	Cenozoic, Recent
24462	Cenozoic, Recent
24466	Cenozoic, Recent
24506	Cenozoic, Recent
24538	Cenozoic, Recent
24540	Cenozoic, Recent
24555	Cenozoic, Recent
24577	Cenozoic, Recent
24586	Cenozoic, Recent
24635	Cenozoic, Recent
24636	Cenozoic, Recent
24727	Cenozoic, Recent
24743	Cenozoic, Recent
24767	Cenozoic, Recent
24768	Cenozoic, Recent
24779	Cenozoic, Recent
24781	Cenozoic, Recent
24784	Cenozoic, Recent
24786	Cenozoic, Recent
24790	Cenozoic, Recent
24795	Cenozoic, Recent
24803	Cenozoic, Recent
24805	Cenozoic, Recent
24819	Cenozoic, Recent
24821	Cenozoic, Recent
24824	Cenozoic, Recent
24827	Cenozoic, Recent
24829	Cenozoic, Recent
24830	Cenozoic, Recent
24831	Cenozoic, Recent
24837	Cenozoic, Recent
25038	Cenozoic, Recent
25061	Cenozoic, Recent
25069	Cenozoic, Recent
25078	Cenozoic, Recent
25098	Cenozoic, Recent
25105	Cenozoic, Recent
25110	Cenozoic, Recent
25122	Cenozoic, Recent
25124	Cenozoic, Recent
25140	Cenozoic, Recent
25162	Cenozoic, Recent
25175	Cenozoic, Recent
25178	Cenozoic, Recent
25179	Cenozoic, Recent
25186	Cenozoic, Recent
25198	Cenozoic, Recent
25200	Cenozoic, Recent
25211	Cenozoic, Recent
25232	Cenozoic, Recent
25241	Cenozoic, Recent
25246	Cenozoic, Recent
25276	Cenozoic, Recent
25286	Cenozoic, Recent
25305	Cenozoic, Recent
25310	Cenozoic, Recent
25324	Cenozoic, Recent
25331	Cenozoic, Recent
25351	Cenozoic, Recent
25364	Cenozoic, Recent
25366	Cenozoic, Recent
25368	Cenozoic, Recent
25398	Cenozoic, Recent
25399	Cenozoic, Recent
25401	Cenozoic, Recent
25403	Cenozoic, Recent
25431	Cenozoic, Recent
25443	Cenozoic, Recent
25447	Cenozoic, Recent
25448	Cenozoic, Recent
25476	Cenozoic, Recent
25488	Cenozoic, Recent
25511	Cenozoic, Recent
25526	Cenozoic, Recent
25527	Cenozoic, Recent
25538	Cenozoic, Recent
25545	Cenozoic, Recent
25564	Cenozoic, Recent
25568	Cenozoic, Recent
25631	Cenozoic, Recent
25635	Cenozoic, Recent
25636	Cenozoic, Recent
25647	Cenozoic, Recent
25698	Cenozoic, Recent
25707	Cenozoic, Recent
25709	Cenozoic, Recent
25742	Cenozoic, Recent
25795	Cenozoic, Recent
25809	Cenozoic, Recent
25811	Cenozoic, Recent
25832	Cenozoic, Recent
25869	Cenozoic, Recent
25871	Cenozoic, Recent
25892	Cenozoic, Recent
25968	Cenozoic, Recent
25971	Cenozoic, Recent
25972	Cenozoic, Recent
25973	Cenozoic, Recent
25975	Cenozoic, Recent
25989	Cenozoic, Recent
25993	Cenozoic, Recent
25995	Cenozoic, Recent
26074	Cenozoic, Recent
26077	Cenozoic, Recent
26079	Cenozoic, Recent
26108	Cenozoic, Recent
26114	Cenozoic, Recent
26115	Cenozoic, Recent
26116	Cenozoic, Recent
26125	Cenozoic, Recent
26126	Cenozoic, Recent
26128	Cenozoic, Recent
26136	Cenozoic, Recent
26137	Cenozoic, Recent
26140	Cenozoic, Recent
26146	Cenozoic, Recent
26217	Cenozoic, Recent
26222	Cenozoic, Recent
26225	Cenozoic, Recent
26226	Cenozoic, Recent
26228	Cenozoic, Recent
26245	Cenozoic, Recent
26250	Cenozoic, Recent
26251	Cenozoic, Recent
26252	Cenozoic, Recent
26256	Cenozoic, Recent
26257	Cenozoic, Recent
26258	Cenozoic, Recent
26259	Cenozoic, Recent
26264	Cenozoic, Recent
26342	Cenozoic, Recent
26361	Cenozoic, Recent
26362	Cenozoic, Recent
26370	Cenozoic, Recent
26398	Cenozoic, Recent
26410	Cenozoic, Recent
26424	Cenozoic, Recent
26429	Cenozoic, Recent
26441	Cenozoic, Recent
26443	Cenozoic, Recent
26444	Cenozoic, Recent
26448	Cenozoic, Recent
26455	Cenozoic, Recent
26456	Cenozoic, Recent
26457	Cenozoic, Recent
26468	Cenozoic, Recent
26469	Cenozoic, Recent
26472	Cenozoic, Recent
26475	Cenozoic, Recent
26476	Cenozoic, Recent
26477	Cenozoic, Recent
26479	Cenozoic, Recent
26483	Cenozoic, Recent
26484	Cenozoic, Recent
26485	Cenozoic, Recent
26486	Cenozoic, Recent
26514	Cenozoic, Recent
26530	Cenozoic, Recent
26533	Cenozoic, Recent
26536	Cenozoic, Recent
26542	Cenozoic, Recent
26548	Cenozoic, Recent
26566	Cenozoic, Recent
26574	Cenozoic, Recent
26646	Cenozoic, Recent
26649	Cenozoic, Recent
26653	Cenozoic, Recent
26659	Cenozoic, Recent
26672	Cenozoic, Recent
26686	Cenozoic, Recent
26708	Cenozoic, Recent
26720	Cenozoic, Recent
26755	Cenozoic, Recent
26763	Cenozoic, Recent
26768	Cenozoic, Recent
26770	Cenozoic, Recent
26798	Cenozoic, Recent
26803	Cenozoic, Recent
26807	Cenozoic, Recent
26813	Cenozoic, Recent
26814	Cenozoic, Recent
26816	Cenozoic, Recent
26817	Cenozoic, Recent
26826	Cenozoic, Recent
26827	Cenozoic, Recent
26855	Cenozoic, Recent
26857	Cenozoic, Recent
26859	Cenozoic, Recent
26878	Cenozoic, Recent
26879	Cenozoic, Recent
26881	Cenozoic, Recent
26886	Cenozoic, Recent
26913	Cenozoic, Recent
26926	Cenozoic, Recent
26928	Cenozoic, Recent
26941	Cenozoic, Recent
26957	Cenozoic, Recent
26966	Cenozoic, Recent
26973	Cenozoic, Recent
26974	Cenozoic, Recent
27104	Cenozoic, Recent
27160	Cenozoic, Recent
27170	Cenozoic, Recent
27171	Cenozoic, Recent
27172	Cenozoic, Recent
27195	Cenozoic, Recent
27211	Cenozoic, Recent
27222	Cenozoic, Recent
27305	Cenozoic, Recent
27329	Cenozoic, Recent
27342	Cenozoic, Recent
27345	Cenozoic, Recent
27408	Cenozoic, Recent
27413	Cenozoic, Recent
27514	Cenozoic, Recent
27527	Cenozoic, Recent
27529	Cenozoic, Cretaceous, Recent
27531	Cenozoic, Recent
27536	Cenozoic, Cretaceous, Recent
27538	Cenozoic, Recent
27539	Cenozoic, Recent
27541	Cenozoic, Recent
27555	Cenozoic, Recent
27573	Cenozoic, Recent
27596	Cenozoic, Recent
27605	Cenozoic, Recent
27607	Cenozoic, Recent
27635	Cenozoic, Recent
27635	Cenozoic, Recent
27636	Cenozoic, Recent
27636	Cenozoic, Recent
27732	Cenozoic, Recent
27738	Cenozoic, Recent
27740	Cenozoic, Recent
27741	Cenozoic, Recent
27744	Cenozoic, Recent
27745	Cenozoic, Recent
27747	Cenozoic, Recent
27748	Cenozoic, Recent
27753	Cenozoic, Recent
27764	Cenozoic, Recent
27768	Cenozoic, Recent
27769	Cenozoic, Recent
27770	Cenozoic, Recent
27774	Cenozoic, Recent
27812	Cenozoic, Recent
27848	Cenozoic, Recent
27853	Cenozoic, Cretaceous, Recent
27854	Cenozoic, Recent
27885	Cenozoic, Recent
27887	Cenozoic, Recent
27891	Cenozoic, Recent
27895	Cenozoic, Recent
27897	Cenozoic, Recent
27899	Cenozoic, Recent
27905	Cenozoic, Recent
27906	Cenozoic, Recent
27913	Cenozoic, Recent
27925	Cenozoic, Recent
27942	Cenozoic, Recent
27948	Cenozoic, Recent
27958	Cenozoic, Recent
27965	Cenozoic, Recent
27986	Cenozoic, Cretaceous, Recent
28007	Cenozoic, Recent
28010	Cenozoic, Recent
28048	Cenozoic, Recent
28051	Cenozoic, Recent
28096	Cenozoic, Recent
28103	Cenozoic, Recent
28108	Cenozoic, Recent
28124	Cenozoic, Recent
